import time: self [us] | cumulative | imported package
import time:       199 |        199 |   _io
import time:        22 |         22 |   marshal
import time:     13840 |      13840 |   posix
import time:       700 |      14759 | _frozen_importlib_external
import time:       552 |        552 |   time
import time:       275 |        827 | zipimport
import time:        27 |         27 |     _codecs
import time:      2491 |       2518 |   codecs
import time:      1366 |       1366 |   encodings.aliases
import time:      2651 |       6534 | encodings
import time:       246 |        246 | encodings.utf_8
import time:       149 |        149 | _signal
import time:       389 |        389 | encodings.latin_1
import time:        23 |         23 |     _abc
import time:       371 |        394 |   abc
import time:       486 |        879 | io
import time:        27 |         27 |       _stat
import time:       360 |        387 |     stat
import time:      1428 |       1428 |     _collections_abc
import time:       323 |        323 |       genericpath
import time:       446 |        769 |     posixpath
import time:      1193 |       3776 |   os
import time:       220 |        220 |   _sitebuiltins
import time:        36 |         36 |     _locale
import time:       208 |        243 |   _bootlocale
import time:       896 |        896 |   _distutils_hack
import time:        58 |         58 |   sitecustomize
import time:      4227 |       9418 | site
import time:       209 |        209 |         django.utils
import time:      3194 |       3194 |           math
import time:      2149 |       2149 |           _datetime
import time:      1318 |       6660 |         datetime
import time:      1702 |       1702 |               _heapq
import time:       267 |       1969 |             heapq
import time:        46 |         46 |             itertools
import time:       320 |        320 |             keyword
import time:       157 |        157 |               _operator
import time:       380 |        536 |             operator
import time:       328 |        328 |             reprlib
import time:        33 |         33 |             _collections
import time:      2156 |       5386 |           collections
import time:       412 |        412 |           types
import time:        23 |         23 |           _functools
import time:       640 |       6460 |         functools
import time:        37 |         37 |           errno
import time:       684 |        684 |             enum
import time:       563 |       1247 |           signal
import time:       226 |        226 |             _weakrefset
import time:       901 |       1127 |           threading
import time:       464 |        464 |           warnings
import time:       413 |        413 |           contextlib
import time:        23 |         23 |           pwd
import time:       926 |        926 |           grp
import time:        42 |         42 |           msvcrt
import time:       762 |        762 |           _posixsubprocess
import time:      1177 |       1177 |           select
import time:       242 |        242 |             collections.abc
import time:       451 |        693 |           selectors
import time:       609 |       7514 |         subprocess
import time:       172 |        172 |               _sre
import time:       337 |        337 |                 sre_constants
import time:       326 |        662 |               sre_parse
import time:       285 |       1119 |             sre_compile
import time:       203 |        203 |             copyreg
import time:      1189 |       2509 |           re
import time:       357 |        357 |               weakref
import time:        40 |         40 |                   org
import time:        11 |         51 |                 org.python
import time:         9 |         59 |               org.python.core
import time:       177 |        593 |             copy
import time:       269 |        861 |           django.utils.functional
import time:       326 |       3695 |         django.utils.regex_helper
import time:       303 |      24838 |       django.utils.version
import time:       478 |      25316 |     django
import time:       230 |      25545 |   django.core
import time:       206 |        206 |     importlib
import time:       214 |        214 |         importlib.machinery
import time:      1035 |       1035 |         typing
import time:       402 |       1651 |       importlib.abc
import time:       370 |       2020 |     importlib.util
import time:       915 |       3140 |   pkgutil
import time:      1065 |       1065 |     gettext
import time:       808 |       1872 |   argparse
import time:       453 |        453 |   difflib
import time:       686 |        686 |           _ast
import time:      1049 |       1735 |         ast
import time:      1086 |       1086 |             _opcode
import time:       295 |       1381 |           opcode
import time:       409 |       1789 |         dis
import time:       227 |        227 |             token
import time:       748 |        975 |           tokenize
import time:       250 |       1224 |         linecache
import time:       934 |       5681 |       inspect
import time:       171 |        171 |           django.utils.itercompat
import time:       170 |        340 |         django.utils.hashable
import time:       361 |        701 |       django.core.exceptions
import time:       354 |        354 |       django.utils.module_loading
import time:       380 |        380 |           asgiref
import time:       225 |        225 |                 concurrent
import time:       320 |        320 |                     traceback
import time:        27 |         27 |                       _string
import time:       754 |        781 |                     string
import time:        26 |         26 |                     atexit
import time:      3575 |       4700 |                   logging
import time:       542 |       5242 |                 concurrent.futures._base
import time:       197 |       5662 |               concurrent.futures
import time:      1952 |       1952 |                 _socket
import time:      1631 |       1631 |                 array
import time:       998 |       4581 |               socket
import time:      9070 |       9070 |                 _ssl
import time:      1052 |       1052 |                     _struct
import time:       235 |       1286 |                   struct
import time:      3180 |       3180 |                   binascii
import time:       328 |       4793 |                 base64
import time:      3542 |      17403 |               ssl
import time:       262 |        262 |               asyncio.constants
import time:       205 |        205 |                   asyncio.format_helpers
import time:       217 |        422 |                 asyncio.base_futures
import time:       305 |        305 |                 asyncio.log
import time:       279 |       1005 |               asyncio.coroutines
import time:      2061 |       2061 |                   _contextvars
import time:       107 |       2168 |                 contextvars
import time:       161 |        161 |                   asyncio.exceptions
import time:       110 |        110 |                   asyncio.base_tasks
import time:      1137 |       1407 |                 _asyncio
import time:       579 |       4153 |               asyncio.events
import time:       243 |        243 |               asyncio.futures
import time:       282 |        282 |               asyncio.protocols
import time:       724 |        724 |                 asyncio.transports
import time:       309 |       1032 |               asyncio.sslproto
import time:       282 |        282 |                 asyncio.locks
import time:       342 |        342 |                 asyncio.tasks
import time:       340 |        962 |               asyncio.staggered
import time:       379 |        379 |               asyncio.trsock
import time:       790 |      36749 |             asyncio.base_events
